Races_ID,RaceTime,CardNo,HorseName,AgeWt,Trainer,Jockey,Or,FFigs,Draw,Days,Age,Aid,Allow,cdb
22,Southwell,10,Dodgy Bob,10-4,M Mullineaux,Mr Sebastian Perry,46,053-850,(7),5,12,b,7,D   
22,Southwell,11,Love Is A Rose,10-4,M Mullineaux,Miss Katie Garton,46,57079-8,(5),19,5,es1,5,   
23,Southwell,1,Blue Anthem,9-12,G Boughey,Billy Loughnane,68,005-1,(1),12,3,,,   
23,Southwell,2,Squires Treaty,9-8,D Donovan,Rhys Clutterbuck,64,8763-22,(7),17,3,,,   
23,Southwell,3,Ventura Dream,9-6,A Watson,Charles Bishop,62,569-,(6),50,3,,,   
23,Southwell,4,Sweet Cicely,9-5,R A Fahey,O J Orr,61,4572-45,(5),15,3,,,   
23,Southwell,5,Spec Of Light,9-5,D Loughnane,Rossa Ryan,61,95-7,(2),39,3,,,   
23,Southwell,6,Dixie's Delight,9-4,Jessica Macey,Lewis Edmunds,60,6-97,(8),19,3,,,   
23,Southwell,7,Tiny Rebel,9-3,P Attwater,Edward Greatrex,59,586-5,(4),37,3,b,,   
23,Southwell,8,Makes Me Wonder,8-13,D M Simcock,Hayley Turner,55,9868-6,(3),12,3,,,   
24,Southwell,1,Crest Of Light,9-9,K P De Foy,Daniel Muscutt,64,98823-,(4),58,3,,,   
24,Southwell,2,Callout,9-8,E Bethell,P J McDonald,63,5556-,(8),136,3,b1,,   
24,Southwell,3,Eva Dickson,9-6,C Johnston,Billy Loughnane,61,4577-4,(7),18,3,,,   
24,Southwell,4,Antiquity,9-6,J A Osborne,Saffie Osborne,61,7768-16,(5),15,3,,,D   
24,Southwell,5,Top Of Pleinmont,9-6,P D Evans,George Downing,61,570-5,(6),22,3,,,   
24,Southwell,6,Risk,9-5,Tom Dascombe,Pierre-Louis Jamin,60,88704-3,(2),12,3,p,,   
24,Southwell,7,Goldrush Glory (FR),9-1,R A Fahey,O J Orr,56,68-65,(1),14,3,,,   
24,Southwell,8,Cuda Been A Rowlex,8-4,Roger Fell,Jack Doughty,45,6009-05,(3),14,3,,3,   
25,Southwell,1,Enola Grey,9-10,G Tutty,Ethan Jones,79,41-2533,(5),8,5,,5,D C  
25,Southwell,2,Gaiety Musical  (ex5),9-10,P D Evans,Jordan Williams,79,926-111,(4),3,4,,5,   
25,Southwell,3,Just A Spark,9-8,B R Millman,Lewis Edmunds,77,2099-95,(8),26,5,p1,, C  
25,Southwell,4,Ghaihaban,9-7,A M Balding,Jason Watson,76,44513-5,(7),29,4,,,D   
25,Southwell,5,Liv My Life,9-5,S C Williams,Rossa Ryan,74,0890-16,(2),29,4,,,  CD 
25,Southwell,6,Quandary,9-5,E Bethell,P J McDonald,74,3600-23,(1),14,5,v1,,   
25,Southwell,7,Powdering,9-4,M Herrington,Joanna Mason,73,367562-,(6),56,5,,,D   
25,Southwell,8,Petra Celera,9-1,Roger Fell,Finley Marsh,70,4245-08,(3),25,4,,,  CD 
26,Southwell,1,Black Cab (FR),10-2,J A Osborne,Saffie Osborne,-,,(5),,4,,,   
26,Southwell,2,Adversary,9-1,C G Cox,Rossa Ryan,-,0-2,(2),15,3,,,   
26,Southwell,3,Dream Out Loud,9-1,A M Balding,Jason Watson,-,,(4),,3,,,   
26,Southwell,4,Stay Around,9-1,E Bethell,C J Orr,-,00-,(3),113,3,h1,3,   
26,Southwell,5,Vocal Legend,9-1,C Hills,Billy Loughnane,75,62-2,(1),38,3,,,   
27,Southwell,1,Midnight City,9-9,R Spencer,George Wood,75,57022-4,(1),32,3,b1,,   
27,Southwell,2,Dandy Magic,9-8,J S Goldie,Billy Loughnane,74,37801-5,(4),38,3,,,D   
27,Southwell,3,Leadenhall Street,9-8,J R Fanshawe,Daniel Muscutt,74,05-2,(2),31,3,h,,   
27,Southwell,4,Mighty Ruler,9-7,Eve Johnson Houghton,Charles Bishop,73,6863-,(3),91,3,t p,,   
27,Southwell,5,Alashos (FR),9-7,James Horton,A J Farragher,73,02143-,(9),199,3,,,D   
27,Southwell,6,Mini Mac,9-5,Mrs C A Dunnett,K T O'Neill,71,31984-7,(8),31,3,,,D   
27,Southwell,7,Bow Street,9-2,K P De Foy,Benoit D L Sayette,68,476616-,(5),85,3,,,D   
27,Southwell,8,Psychodrama,8-13,R A Fahey,O J Orr,65,542-42,(10),8,3,,,   bf
27,Southwell,9,Cemlyn,8-12,E Bethell,P J McDonald,64,46-3,(6),31,3,,,   
27,Southwell,10,Piranha Rama,8-12,P D Evans,George Downing,64,3317-62,(7),12,3,,,D   
28,Southwell,1,King Of The Jungle,9-9,M & D Easterby,Lewis Chalkley,59,152-253,(6),16,5,p1,7,D   bf
28,Southwell,2,Nelson Gay,9-9,M Dods,Lewis Edmunds,59,023-653,(1),12,7,t b,,D C  
28,Southwell,3,Better,9-7,P T Midgley,P J McDonald,57,4139-76,(2),7,4,,,D   
28,Southwell,4,It's Showtime,9-7,C Allen,Connor Planas,57,63580-3,(7),31,4,,3,D   
28,Southwell,5,Stone Of Destiny,9-6,M Appleby,Alistair Rawlinson,56,983-451,(4),9,10,,,  CD 
